model,prompt_type,prompt_index,split,Category,TP,FP,FN,P,R,F0.5
stabilityai/StableBeluga2,1-shot,1,wibea-dev,M:VERB:FORM,17,12,4,0.5862,0.8095,0.6204
stabilityai/StableBeluga2,1-shot,1,wibea-dev,M:VERB:TENSE,18,24,43,0.4286,0.2951,0.393
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:ADJ,19,61,61,0.2375,0.2375,0.2375
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:ADJ:FORM,11,3,5,0.7857,0.6875,0.7639
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:ADV,10,35,48,0.2222,0.1724,0.2101
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:CONJ,1,5,7,0.1667,0.125,0.1562
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:CONTR,8,18,12,0.3077,0.4,0.3226
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:DET,60,102,102,0.3704,0.3704,0.3704
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:MORPH,108,168,73,0.3913,0.5967,0.4202
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:NOUN,59,160,220,0.2694,0.2115,0.2554
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:NOUN:INFL,9,0,2,1.0,0.8182,0.9574
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:NOUN:NUM,173,118,96,0.5945,0.6431,0.6036
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:NOUN:POSS,19,15,9,0.5588,0.6786,0.5793
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:ORTH,222,151,102,0.5952,0.6852,0.6112
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:OTHER,225,609,523,0.2698,0.3008,0.2755
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:PART,22,16,21,0.5789,0.5116,0.5641
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:PREP,207,199,298,0.5099,0.4099,0.4861
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:PRON,27,73,30,0.27,0.4737,0.2954
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:PUNCT,120,128,174,0.4839,0.4082,0.4666
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:SPELL,349,119,53,0.7457,0.8682,0.7674
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:VERB,55,123,278,0.309,0.1652,0.2632
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:VERB:FORM,118,132,88,0.472,0.5728,0.4892
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:VERB:INFL,5,3,1,0.625,0.8333,0.6579
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:VERB:SVA,106,62,40,0.631,0.726,0.6479
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:VERB:TENSE,125,99,245,0.558,0.3378,0.4937
stabilityai/StableBeluga2,1-shot,1,wibea-dev,R:WO,28,56,60,0.3333,0.3182,0.3302
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:ADJ,2,1,12,0.6667,0.1429,0.3846
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:ADV,6,26,35,0.1875,0.1463,0.1775
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:CONJ,3,24,6,0.1111,0.3333,0.1282
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:CONTR,5,1,3,0.8333,0.625,0.7812
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:DET,128,115,130,0.5267,0.4961,0.5203
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:NOUN,9,37,39,0.1957,0.1875,0.194
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:NOUN:POSS,4,1,4,0.8,0.5,0.7143
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:OTHER,17,1417,68,0.0119,0.2,0.0146
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:PART,3,2,6,0.6,0.3333,0.5172
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:PREP,46,71,50,0.3932,0.4792,0.4078
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:PRON,20,26,24,0.4348,0.4545,0.4386
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:PUNCT,43,106,54,0.2886,0.4433,0.3102
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:VERB,17,18,27,0.4857,0.3864,0.462
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:VERB:FORM,4,12,5,0.25,0.4444,0.274
stabilityai/StableBeluga2,1-shot,1,wibea-dev,U:VERB:TENSE,15,16,28,0.4839,0.3488,0.4491
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:ADJ,3,13,16,0.1875,0.1579,0.1807
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:ADV,8,29,24,0.2162,0.25,0.2222
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:CONJ,8,49,15,0.1404,0.3478,0.1594
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:CONTR,0,1,2,0.0,0.0,0.0
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:DET,221,108,143,0.6717,0.6071,0.6577
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:NOUN,4,41,42,0.0889,0.087,0.0885
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:NOUN:POSS,12,6,12,0.6667,0.5,0.625
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:OTHER,29,157,129,0.1559,0.1835,0.1608
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:PART,5,4,6,0.5556,0.4545,0.5319
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:PREP,73,103,71,0.4148,0.5069,0.4304
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:PRON,21,21,35,0.5,0.375,0.4688
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:PUNCT,666,845,425,0.4408,0.6104,0.4667
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:VERB,23,36,33,0.3898,0.4107,0.3938
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:VERB:FORM,19,12,2,0.6129,0.9048,0.6552
stabilityai/StableBeluga2,1-shot,2,wibea-dev,M:VERB:TENSE,17,26,44,0.3953,0.2787,0.3648
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:ADJ,20,51,60,0.2817,0.25,0.2747
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:ADJ:FORM,12,3,4,0.8,0.75,0.7895
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:ADV,9,28,49,0.2432,0.1552,0.2184
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:CONJ,0,3,8,0.0,0.0,0.0
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:CONTR,11,13,9,0.4583,0.55,0.4741
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:DET,68,108,94,0.3864,0.4198,0.3926
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:MORPH,104,163,77,0.3895,0.5746,0.4163
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:NOUN,64,152,215,0.2963,0.2294,0.28
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:NOUN:INFL,10,1,1,0.9091,0.9091,0.9091
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:NOUN:NUM,183,123,86,0.598,0.6803,0.6129
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:NOUN:POSS,20,18,8,0.5263,0.7143,0.5556
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:ORTH,217,148,107,0.5945,0.6698,0.6082
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:OTHER,234,533,514,0.3051,0.3128,0.3066
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:PART,25,21,18,0.5435,0.5814,0.5507
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:PREP,219,219,286,0.5,0.4337,0.4852
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:PRON,27,68,30,0.2842,0.4737,0.3089
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:PUNCT,106,129,188,0.4511,0.3605,0.4295
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:SPELL,353,113,49,0.7575,0.8781,0.7789
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:VERB,55,134,278,0.291,0.1652,0.2525
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:VERB:FORM,127,150,79,0.4585,0.6165,0.4833
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:VERB:INFL,5,3,1,0.625,0.8333,0.6579
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:VERB:SVA,113,72,33,0.6108,0.774,0.6377
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:VERB:TENSE,139,100,231,0.5816,0.3757,0.5241
stabilityai/StableBeluga2,1-shot,2,wibea-dev,R:WO,26,66,62,0.2826,0.2955,0.2851
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:ADJ,2,3,12,0.4,0.1429,0.2941
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:ADV,10,25,31,0.2857,0.2439,0.2762
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:CONJ,3,19,6,0.1364,0.3333,0.1546
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:CONTR,6,2,2,0.75,0.75,0.75
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:DET,137,121,121,0.531,0.531,0.531
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:NOUN,9,46,39,0.1636,0.1875,0.1679
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:NOUN:POSS,4,1,4,0.8,0.5,0.7143
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:OTHER,17,1014,68,0.0165,0.2,0.0202
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:PART,3,3,6,0.5,0.3333,0.4545
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:PREP,45,80,51,0.36,0.4688,0.3775
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:PRON,24,36,20,0.4,0.5455,0.4225
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:PUNCT,45,103,52,0.3041,0.4639,0.3266
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:VERB,17,24,27,0.4146,0.3864,0.4087
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:VERB:FORM,4,17,5,0.1905,0.4444,0.2151
stabilityai/StableBeluga2,1-shot,2,wibea-dev,U:VERB:TENSE,16,27,27,0.3721,0.3721,0.3721
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:ADJ,4,11,15,0.2667,0.2105,0.2532
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:ADV,8,32,24,0.2,0.25,0.2083
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:CONJ,6,37,17,0.1395,0.2609,0.1538
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:CONTR,0,0,2,1.0,0.0,0.0
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:DET,195,96,169,0.6701,0.5357,0.6381
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:NOUN,4,33,42,0.1081,0.087,0.1031
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:NOUN:POSS,9,8,15,0.5294,0.375,0.4891
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:OTHER,27,112,131,0.1942,0.1709,0.1891
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:PART,4,5,7,0.4444,0.3636,0.4255
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:PREP,62,84,82,0.4247,0.4306,0.4258
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:PRON,24,24,32,0.5,0.4286,0.4839
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:PUNCT,514,624,577,0.4517,0.4711,0.4554
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:VERB,18,34,38,0.3462,0.3214,0.3409
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:VERB:FORM,19,12,2,0.6129,0.9048,0.6552
stabilityai/StableBeluga2,1-shot,3,wibea-dev,M:VERB:TENSE,18,27,43,0.4,0.2951,0.3734
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:ADJ,18,36,62,0.3333,0.225,0.3041
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:ADJ:FORM,12,2,4,0.8571,0.75,0.8333
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:ADV,10,24,48,0.2941,0.1724,0.2577
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:CONJ,0,6,8,0.0,0.0,0.0
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:CONTR,10,12,10,0.4545,0.5,0.463
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:DET,58,84,104,0.4085,0.358,0.3973
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:MORPH,98,128,83,0.4336,0.5414,0.4516
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:NOUN,55,111,224,0.3313,0.1971,0.2916
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:NOUN:INFL,7,1,4,0.875,0.6364,0.814
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:NOUN:NUM,167,102,102,0.6208,0.6208,0.6208
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:NOUN:POSS,17,18,11,0.4857,0.6071,0.506
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:ORTH,196,102,128,0.6577,0.6049,0.6464
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:OTHER,216,489,532,0.3064,0.2888,0.3027
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:PART,21,13,22,0.6176,0.4884,0.5866
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:PREP,194,173,311,0.5286,0.3842,0.4916
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:PRON,24,61,33,0.2824,0.4211,0.3023
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:PUNCT,93,103,201,0.4745,0.3163,0.4314
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:SPELL,340,99,62,0.7745,0.8458,0.7878
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:VERB,52,109,281,0.323,0.1562,0.2661
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:VERB:FORM,118,116,88,0.5043,0.5728,0.5166
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:VERB:INFL,5,2,1,0.7143,0.8333,0.7353
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:VERB:SVA,108,59,38,0.6467,0.7397,0.6634
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:VERB:TENSE,126,81,244,0.6087,0.3405,0.5259
stabilityai/StableBeluga2,1-shot,3,wibea-dev,R:WO,28,45,60,0.3836,0.3182,0.3684
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:ADJ,2,1,12,0.6667,0.1429,0.3846
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:ADV,7,24,34,0.2258,0.1707,0.2121
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:CONJ,3,18,6,0.1429,0.3333,0.1613
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:CONTR,6,2,2,0.75,0.75,0.75
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:DET,120,99,138,0.5479,0.4651,0.5291
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:NOUN,9,46,39,0.1636,0.1875,0.1679
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:NOUN:POSS,4,1,4,0.8,0.5,0.7143
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:OTHER,20,2147,65,0.0092,0.2353,0.0114
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:PART,3,2,6,0.6,0.3333,0.5172
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:PREP,46,69,50,0.4,0.4792,0.4137
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:PRON,23,25,21,0.4792,0.5227,0.4873
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:PUNCT,38,79,59,0.3248,0.3918,0.3363
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:VERB,18,19,26,0.4865,0.4091,0.4688
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:VERB:FORM,4,13,5,0.2353,0.4444,0.2597
stabilityai/StableBeluga2,1-shot,3,wibea-dev,U:VERB:TENSE,16,16,27,0.5,0.3721,0.4678
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:ADJ,5,18,14,0.2174,0.2632,0.2252
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:ADV,7,35,25,0.1667,0.2188,0.175
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:CONJ,8,60,15,0.1176,0.3478,0.1356
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:CONTR,0,0,2,1.0,0.0,0.0
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:DET,230,130,134,0.6389,0.6319,0.6375
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:NOUN,6,39,40,0.1333,0.1304,0.1327
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:NOUN:POSS,13,6,11,0.6842,0.5417,0.65
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:OTHER,30,958,128,0.0304,0.1899,0.0365
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:PART,4,5,7,0.4444,0.3636,0.4255
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:PREP,76,112,68,0.4043,0.5278,0.4241
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:PRON,25,32,31,0.4386,0.4464,0.4401
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:PUNCT,714,968,377,0.4245,0.6544,0.4566
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:VERB,27,47,29,0.3649,0.4821,0.3835
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:VERB:FORM,19,13,2,0.5938,0.9048,0.6376
stabilityai/StableBeluga2,2-shot,1,wibea-dev,M:VERB:TENSE,19,26,42,0.4222,0.3115,0.3942
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:ADJ,24,81,56,0.2286,0.3,0.24
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:ADJ:FORM,11,5,5,0.6875,0.6875,0.6875
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:ADV,11,34,47,0.2444,0.1897,0.2311
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:CONJ,1,8,7,0.1111,0.125,0.1136
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:CONTR,10,23,10,0.303,0.5,0.3289
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:DET,67,121,95,0.3564,0.4136,0.3665
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:MORPH,113,203,68,0.3576,0.6243,0.391
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:NOUN,69,190,210,0.2664,0.2473,0.2624
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:NOUN:INFL,10,1,1,0.9091,0.9091,0.9091
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:NOUN:NUM,186,133,83,0.5831,0.6914,0.6019
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:NOUN:POSS,21,18,7,0.5385,0.75,0.5707
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:ORTH,243,193,81,0.5573,0.75,0.5875
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:OTHER,230,660,518,0.2584,0.3075,0.2669
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:PART,22,23,21,0.4889,0.5116,0.4933
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:PREP,225,247,280,0.4767,0.4455,0.4701
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:PRON,30,81,27,0.2703,0.5263,0.2994
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:PUNCT,121,146,173,0.4532,0.4116,0.4442
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:SPELL,350,123,52,0.74,0.8706,0.7629
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:VERB,68,154,265,0.3063,0.2042,0.2785
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:VERB:FORM,123,166,83,0.4256,0.5971,0.4515
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:VERB:INFL,5,3,1,0.625,0.8333,0.6579
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:VERB:SVA,113,75,33,0.6011,0.774,0.6292
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:VERB:TENSE,147,123,223,0.5444,0.3973,0.5069
stabilityai/StableBeluga2,2-shot,1,wibea-dev,R:WO,30,72,58,0.2941,0.3409,0.3024
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:ADJ,2,3,12,0.4,0.1429,0.2941
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:ADV,9,34,32,0.2093,0.2195,0.2113
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:CONJ,2,25,7,0.0741,0.2222,0.0855
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:CONTR,4,4,4,0.5,0.5,0.5
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:DET,149,125,109,0.5438,0.5775,0.5502
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:NOUN,9,27,39,0.25,0.1875,0.2344
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:NOUN:POSS,3,1,5,0.75,0.375,0.625
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:OTHER,21,331,64,0.0597,0.2471,0.0703
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:PART,3,5,6,0.375,0.3333,0.3659
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:PREP,49,88,47,0.3577,0.5104,0.3804
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:PRON,23,32,21,0.4182,0.5227,0.4356
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:PUNCT,48,119,49,0.2874,0.4948,0.3137
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:VERB,18,21,26,0.4615,0.4091,0.45
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:VERB:FORM,4,17,5,0.1905,0.4444,0.2151
stabilityai/StableBeluga2,2-shot,1,wibea-dev,U:VERB:TENSE,22,25,21,0.4681,0.5116,0.4762
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:ADJ,4,14,15,0.2222,0.2105,0.2198
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:ADV,7,38,25,0.1556,0.2188,0.1651
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:CONJ,9,60,14,0.1304,0.3913,0.1505
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:CONTR,1,1,1,0.5,0.5,0.5
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:DET,218,116,146,0.6527,0.5989,0.6412
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:NOUN,5,45,41,0.1,0.1087,0.1016
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:NOUN:POSS,12,7,12,0.6316,0.5,0.6
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:OTHER,27,1454,131,0.0182,0.1709,0.0222
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:PART,4,4,7,0.5,0.3636,0.4651
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:PREP,72,114,72,0.3871,0.5,0.4054
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:PRON,20,23,36,0.4651,0.3571,0.4386
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:PUNCT,699,895,392,0.4385,0.6407,0.4681
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:VERB,22,43,34,0.3385,0.3929,0.3481
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:VERB:FORM,19,12,2,0.6129,0.9048,0.6552
stabilityai/StableBeluga2,2-shot,2,wibea-dev,M:VERB:TENSE,18,29,43,0.383,0.2951,0.3614
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:ADJ,22,73,58,0.2316,0.275,0.2391
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:ADJ:FORM,12,5,4,0.7059,0.75,0.7143
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:ADV,9,39,49,0.1875,0.1552,0.18
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:CONJ,0,5,8,0.0,0.0,0.0
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:CONTR,11,24,9,0.3143,0.55,0.3438
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:DET,70,131,92,0.3483,0.4321,0.3623
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:MORPH,105,191,76,0.3547,0.5801,0.3846
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:NOUN,71,185,208,0.2773,0.2545,0.2724
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:NOUN:INFL,10,1,1,0.9091,0.9091,0.9091
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:NOUN:NUM,183,139,86,0.5683,0.6803,0.5877
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:NOUN:POSS,21,17,7,0.5526,0.75,0.5833
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:ORTH,222,151,102,0.5952,0.6852,0.6112
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:OTHER,228,609,520,0.2724,0.3048,0.2783
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:PART,26,25,17,0.5098,0.6047,0.5263
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:PREP,234,277,271,0.4579,0.4634,0.459
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:PRON,26,81,31,0.243,0.4561,0.268
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:PUNCT,91,143,203,0.3889,0.3095,0.3699
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:SPELL,352,126,50,0.7364,0.8756,0.7606
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:VERB,61,170,272,0.2641,0.1832,0.2426
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:VERB:FORM,128,175,78,0.4224,0.6214,0.4513
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:VERB:INFL,5,3,1,0.625,0.8333,0.6579
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:VERB:SVA,112,86,34,0.5657,0.7671,0.597
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:VERB:TENSE,154,136,216,0.531,0.4162,0.5033
stabilityai/StableBeluga2,2-shot,2,wibea-dev,R:WO,26,78,62,0.25,0.2955,0.2579
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:ADJ,4,4,10,0.5,0.2857,0.4348
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:ADV,10,39,31,0.2041,0.2439,0.211
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:CONJ,2,22,7,0.0833,0.2222,0.0952
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:CONTR,6,4,2,0.6,0.75,0.625
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:DET,136,138,122,0.4964,0.5271,0.5022
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:NOUN,11,42,37,0.2075,0.2292,0.2115
stabilityai/StableBeluga2,2-shot,2,wibea-dev,U:NOUN:POSS,3,1,5,0.75,0.375,0.625
